European Union - 28 countries;2322649
Belgium;37573
Bulgaria;103071
Czechia;109962
Denmark;10254
Germany;315477
Estonia;38653
Ireland;13221
Greece;105844
Spain;220443
France;143782
Croatia;12557
Italy;115171
Cyprus;16391
Latvia;3996
Lithuania;13177
Luxembourg;1011
Hungary;27722
Malta;151
Netherlands;26898
Austria;12809
Poland;582656
Portugal;47520
Romania;106932
Slovenia;4878
Slovakia;27037
Finland;35020
Sweden;17566
United Kingdom;172877
Iceland;NA
Norway;NA
Switzerland;NA
Turkey;NA
