European Union - 28 countries;1122,77
Belgium;36,05
Bulgaria;9,89
Czechia;25,49
Denmark;14,62
Germany;218,71
Estonia;2,87
Ireland;11,76
Greece;16,75
Spain;84,33
France;148,95
Croatia;6,92
Italy;115,19
Cyprus;1,85
Latvia;4,01
Lithuania;5,35
Luxembourg;4,18
Hungary;18,51
Malta;0,63
Netherlands;50,34
Austria;28,42
Poland;70,92
Portugal;16,56
Romania;23,21
Slovenia;4,86
Slovakia;11,13
Finland;25,29
Sweden;32,64
United Kingdom;133,35
Iceland;3,35
Norway;18,81
Switzerland;NA
Turkey;107,12
