European Union - 28 countries;36,04
Belgium;40,82
Bulgaria;2,94
Czechia;27,89
Denmark;12,8
Germany;38,19
Estonia;5,88
Ireland;21,49
Greece;8,17
Spain;24,28
France;27,9
Croatia;20,16
Italy;52,47
Cyprus;0
Latvia;9,31
Lithuania;10,57
Luxembourg;45,55
Hungary;47,18
Malta;0
Netherlands;70,99
Austria;21,97
Poland;18,21
Portugal;9,75
Romania;31,53
Slovenia;10,63
Slovakia;54,54
Finland;0,46
Sweden;0,48
United Kingdom;61,99
Iceland;0
Norway;0,19
Switzerland;NA
Turkey;50,21
