European Union - 28 countries;285217,247
Belgium;63,600
Bulgaria;1450,000
Czechia;NA
Denmark;152,473
Germany;10696,000
Estonia;NA
Ireland;NA
Greece;369,700
Spain;789,000
France;17355,858
Croatia;345,100
Italy;230306,799
Cyprus;64,916
Latvia;NA
Lithuania;31,000
Luxembourg;NA
Hungary;5578,000
Malta;NA
Netherlands;3046,550
Austria;1501,302
Poland;945,538
Portugal;8329,235
Romania;1752,052
Slovenia;2048,124
Slovakia;359,000
Finland;NA
Sweden;NA
United Kingdom;33,000
Iceland;149884,000
Norway;NA
Switzerland;NA
Turkey;298435,624
