European Union - 28 countries;1561,59
Belgium;49,12
Bulgaria;18,33
Czechia;40,36
Denmark;17,74
Germany ;298,31
Estonia;5,64
Ireland;14,41
Greece;23,12
Spain;125,63
France;239,52
Croatia;8,33
Italy;148,95
Cyprus;2,52
Latvia;4,47
Lithuania;6,16
Luxembourg;4,3
Hungary;24,48
Malta;0,81
Netherlands;64,54
Austria;32,55
Poland;99,11
Portugal;22,79
Romania;32,37
Slovenia;6,64
Slovakia;16,15
Finland;31,93
Sweden;46,48
United Kingdom;176,82
Iceland;5,85
Norway;27,69
Switzerland;NA
Turkey;145,48
